"","medal_name","medal_subname","instituted","url"
"20","Amirate of Abu Dhabi: Union Defence Forces Loyal Service Medal",NA,"1969 as the Trucial Oman Scouts Loyal Service Medal, which became the Union Defence Force in 1971. This in turn became part of the Federal Armed Forces of the United Arab Emirates","https://medals.org.uk/abu-dhabi/abu-dhabi002.htm"
"21","Amirate of Abu Dhabi: Good Service Medal",NA,"1970","https://medals.org.uk/abu-dhabi/abu-dhabi003.htm"
"22","Amirate of Abu Dhabi: Defence Force Medal",NA,"Unknown","https://medals.org.uk/abu-dhabi/abu-dhabi004.htm"
"23","Amirate of Abu Dhabi: Defence Force Service Medal",NA,"1966.Discontinued: 1976 on the incorporation of the Abu Dhabi Defence Force into the Federal Armed Forces of the United Arab Republics","https://medals.org.uk/abu-dhabi/abu-dhabi005.htm"
"24","Amirate of Abu-Dhabi: Police Accession Day Medal",NA,"Unknown","https://medals.org.uk/abu-dhabi/abu-dhabi006.htm"
"25","Amirate of Abu-Dhabi: Defence Force Inauguration Medal",NA,"1996","https://medals.org.uk/abu-dhabi/abu-dhabi007.htm"
"26","Amirate of Abu-Dhabi: Independence Medal",NA,"Unknown","https://medals.org.uk/abu-dhabi/abu-dhabi008.htm"
"27","Islamic Republic of Afghanistan: Hewad (Homeland) Decoration",NA,"Unknown","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan009.htm"
"28","Islamic Republic of Afghanistan: Da Azadi Lamar (Freedom Sun) Decoration",NA,"Unknown","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan010.htm"
"29","Islamic Republic of Afghanistan: Ahmad Shah Ba Ba Decoration",NA,"Unknown","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan011.htm"
"30","Islamic Republic of Afghanistan: Ahmad Shah Mahsoud Medal",NA,"2005","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan005.htm"
"31","Islamic Republic of Afghanistan: Shahid ""Qalbi Tarijh"" (Martyr ""Heart of History"") Decoration",NA,"Unknown","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan012.htm"
"32","Islamic Republic of Afghanistan: Solha Wa Dosti (Peace and Friendship) Decoration",NA,"Unknown","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan013.htm"
"33","Islamic Republic of Afghanistan: Minah Paal (Faithful) Decoration",NA,"Unknown","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan014.htm"
"34","Islamic Republic of Afghanistan: Delaawari (Bravery) Decoration",NA,"2004, based upon the People's Democratic Republic of Afghanisan Order of Gallantry","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan015.htm"
"35","Islamic Republic of Afghanistan: Da Toryaal Satoorray (Bravery) Star",NA,"Unknown","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan016.htm"
"36","Islamic Republic of Afghanistan: Sataarah Barajah Star",NA,"2004, based on the People's Democratic Republic of Afghanistan Order of the Star","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan017.htm"
"37","Islamic Republic of Afghanistan: Waartaya (Supremacy) Medal",NA,"Unknown","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan018.htm"
"38","Islamic Republic of Afghanistan: Baryal Medal",NA,"Unknown","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan001.htm"
"39","Islamic Republic of Afghanistan: Jalal al-Din al-Afghani Medal",NA,"Unknown","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan004.htm"
"40","Islamic Republic of Afghanistan: Heart of the Lion Medal",NA,"Unknown","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan006.htm"
"41","Islamic Republic of Afghanistan: Afghanistan Freedom Medal",NA,"2006","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan008.htm"
"42","Islamic Republic of Afghanistan: Ghazi Amanullah Khan Medal",NA,"2006","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan002.htm"
"43","Islamic Republic of Afghanistan: Sayed Jamaluddin Medal",NA,"Unknown","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan003.htm"
"44","Islamic Republic of Afghanistan: Ghazí Mir Masyedi Khan Medal",NA,"Unknown","https://medals.org.uk/afghanistan/ir-afghanistan/ir-afghanistan007.htm"
"45","Republic of Albania: Order of the National Flag","Urdhri i Flamurit Kombëtar","28 March 1996","https://medals.org.uk/albania/albania-republic/albania-republic006.htm"
"46","Republic of Albania: Order of Scanderbeg","Urdhri i Skënderbeut","28 March 1996","https://medals.org.uk/albania/albania-republic/albania-republic007.htm"
"47","Republic of Albania: Order of the Honour of the Nation","Urdhri Nderi i Kombit","28 March 1996","https://medals.org.uk/albania/albania-republic/albania-republic001.htm"
"48","Republic of Albania: Order of the Grand Master","Urdhri Mjeshter i Madh","28 March 1996 as the Order of the Grand Master of Labour, the name being changed on 2 April 2001","https://medals.org.uk/albania/albania-republic/albania-republic002.htm"
"49","Republic of Albania: Order of Mother Theresa","Urdhri Nënë Tereza","28 March 1996","https://medals.org.uk/albania/albania-republic/albania-republic004.htm"
"50","Republic of Albania: Order of Naim Frashëri","Urdhri Naim Frashëri","28 March 1996","https://medals.org.uk/albania/albania-republic/albania-republic003.htm"
"51","Republic of Albania: Order for Patriotic Achievements","Urdhëri për Veprimtari Patriotike","1992, based on a Communist-era Order.Discontinued: 2002","https://medals.org.uk/albania/albania-republic/albania-republic005.htm"
"52","Republic of Albania: Golden Eagle Medal","Medalja e Artë e Shqiponjës","28 March 1996","https://medals.org.uk/albania/albania-republic/albania-republic008.htm"
"53","Republic of Albania: Medal for Participation in International Services","Medalja per pjesëmarrje në shërbime ndëderkombëtare","25 June 2004","https://medals.org.uk/albania/albania-republic/albania-republic009.htm"
"54","People's Democratic Republic of Algeria: National Order of Merit","Ordre du Mérite National","2 January 1984","https://medals.org.uk/algeria/pdr-algeria/pdr-algeria001.htm"
"55","People's Democratic Republic of Algeria: Medal for Martyrs of the War of National Liberation","Médaille de martyr de la guerre de libération nationale","2 January 1984","https://medals.org.uk/algeria/pdr-algeria/pdr-algeria009.htm"
"56","People's Democratic Republic of Algeria: Medal for the Gravely Wounded, Invalids of War","Médaille de grand blessé, mutilé de guerre","2 January 1984","https://medals.org.uk/algeria/pdr-algeria/pdr-algeria005.htm"
"57","People's Democratic Republic of Algeria: Medal of the Army of National Liberation","Medaille de l'armée de libération nationale","2 January 1984","https://medals.org.uk/algeria/pdr-algeria/pdr-algeria002.htm"
"58","People's Democratic Republic of Algeria: Medal of the Resistance","Médaille de résistant","2 January 1984","https://medals.org.uk/algeria/pdr-algeria/pdr-algeria008.htm"
"59","People's Democratic Republic of Algeria: Medal of the Friends of the Algerian Revolution",NA,"30 June 1987","https://medals.org.uk/algeria/pdr-algeria/pdr-algeria003.htm"
"60","People's Democratic Republic of Algeria: Medal of the Wounded with Army Citation","Médaille de blessé citation à l'ordre de l'armée","1991","https://medals.org.uk/algeria/pdr-algeria/pdr-algeria011.htm"
"61","People's Democratic Republic of Algeria: Medal of the Wounded without Citation","Médaille de blessé sans citation","24 November 1990","https://medals.org.uk/algeria/pdr-algeria/pdr-algeria012.htm"
"62","People's Democratic Republic of Algeria: Medal of Military Merit","Médaille du Merite Militaire","6 June 1981","https://medals.org.uk/algeria/pdr-algeria/pdr-algeria007.htm"
"63","People's Democratic Republic of Algeria: Medal of Honour",NA,"24 November 1990","https://medals.org.uk/algeria/pdr-algeria/pdr-algeria006.htm"
"64","People's Democratic Republic of Algeria: Medal of the National People's Army",NA,"11 February 1986, amended 21 June 2015","https://medals.org.uk/algeria/pdr-algeria/pdr-algeria004.htm"
"65","People's Democratic Republic of Algeria: Medal for Veterans of the Revolution",NA,"Unknown","https://medals.org.uk/algeria/pdr-algeria/pdr-algeria010.htm"
"66","Princpality of Andorra: Order of Charlemagne","Orde de Carlemany","7 December 2007","https://medals.org.uk/andorra/andorra001.htm"
"67","Princpality of Andorra: Order of Merit","","Unknown","https://medals.org.uk/andorra/andorra002.htm"
"68","People's Republic of Angola: Medal of Civil Merit","Medalha Mérito Civil","Unknown","https://medals.org.uk/angola/angola001.htm"
"69","Republic of Angola: Medal of Military Merit","Medalha Mérito Militar","Unknown","https://medals.org.uk/angola/angola002.htm"
"70","People's Republic of Angola: Medal of Merit for Services in Defence of the Country","Medalha Mérito por Serviços prestatos na defensa da Patria","Unknown","https://medals.org.uk/angola/angola003.htm"
"71","Angola:
Medal of the 1st of August","Medalh
na 1o da Agosto"," ","https://medals.org.uk/angola/angola004.htm"
"72","Angola:
Medal of Order","Desconocida"," ","https://medals.org.uk/angola/angola005.htm"
"73","Angola:
Medal for Combatants","Medalha
Fraternidade Combativa"," ","https://medals.org.uk/angola/angola006.htm"
"74","Angola:
Medal for the First Congress of the Popular Movement of Liberation of Angola",NA," 1977","https://medals.org.uk/angola/angola007.htm"
"75","Angola:
National Union of Angolese Workers Medal ",NA," ","https://medals.org.uk/angola/angola008.htm"
"76","Angola:
Armed Popular Front of Angola Medal ",NA," ","https://medals.org.uk/angola/angola009.htm"
"77","Angola:
Unknown Presidential Medal ",NA," ","https://medals.org.uk/angola/angola010.htm"
"78","Duchy of Anhalt: Order of Albert the Bear","Hausorden Albrecht des Bären","18 November 1836","https://medals.org.uk/anhalt/anhalt024.htm"
"79","Duchy of Anhalt: The Order of Merit for Arts and Sciences","Verdienstorden für Wissenschaft und Kunst","20 June 1874.Discontinued: 1918","https://medals.org.uk/anhalt/anhalt003.htm"
"80","Duchy of Anhalt: Fredrick Cross","Friedrichkreuz","12 December 1914.Discontinued: 1918","https://medals.org.uk/anhalt/anhalt004.htm"
"81","Duchy of Anhalt: Medal for Merit, Loyalty and Faithfulness","Medaille für Verdienst, Anhänglichkeit und Treue","1835","https://medals.org.uk/anhalt/anhalt023.htm"
"82","Duchy of Anhalt: Medal of Merit for Life Saving","Verdienstmedaille für Rettung aus Gefahr","4 December 1850 by Duke Leopold Friedrich of Anhalt-Dessau-Köthen and on 26 December 1850 by Duke Alexander Carl of Anhalt-Bernburg.Discontinued: 1918","https://medals.org.uk/anhalt/anhalt022.htm"
"83","Duchy of Anhalt: Marie Cross","Marienkreuz","10 January 1918","https://medals.org.uk/anhalt/anhalt013.htm"
"84","Duchy of Anhalt: Nurse Cross 1914","Ehrenkreuz Für Krankenschwestern und Pflegerinnen 1914","1914","https://medals.org.uk/anhalt/anhalt028.htm"
"85","Duchy of Anhalt: Honour Decoration for Members of the Fire Brigade","Ehrenzeichen fÜr Mitglieder der Feuerwehren","21 November 1888","https://medals.org.uk/anhalt/anhalt009.htm"
"86","Duchy of Anhalt: Commemorative Medal for 50 Years of Reign","Medaille zur Erinnerung","10 August 186","https://medals.org.uk/anhalt/anhalt005.htm"
"87","Duchy of Anhalt: Medal of 25 Years of Reign 1896","Erinnerungdmedaille zum 25 jährigen Regierungsjubiläum","22 May 1896","https://medals.org.uk/anhalt/anhalt006.htm"
"88","Duchy of Anhalt: Long and Faithful Service Medal","Denkzeichen für fünfzigjährige Diensttreue","12 May 1864","https://medals.org.uk/anhalt/anhalt007.htm"
"89","Duchy of Anhalt: Duchess Wite Frederick Commemorative Decoration","Erinnerungszeichen der Herzogin-Witwe Friederike von Anhalt-Bernburg","9 October 1901","https://medals.org.uk/anhalt/anhalt008.htm"
"90","Duchy of Anhalt: Police Long Service Bar","Dienstauszeichnung für die Gensd'armerie","6 April 1870","https://medals.org.uk/anhalt/anhalt029.htm"
"91","Duchy of Anhalt: Faithful Work Service Medal","Ehrebzeichen ""Für Treue in der Arbeit""","29 April 1895","https://medals.org.uk/anhalt/anhalt011.htm"
"92","Duchy of Anhalt: 30
Year Midwife Honour Decoration",NA,"","https://medals.org.uk/anhalt/anhalt010.htm"
"93","Duchy of
      Anhalt: 40 Year Long Service Cross",NA,"","https://medals.org.uk/anhalt/anhalt014.htm"
"94","Duchy of
      Anhalt: 25 Year Long Service Cross",NA,"","https://medals.org.uk/anhalt/anhalt015.htm"
"95","Duchy of
      Anhalt: 15 Year Long Service Cross",NA,"","https://medals.org.uk/anhalt/anhalt016.htm"
"96","Duchy of
      Anhalt: 12 Year Long Service Cross",NA,"","https://medals.org.uk/anhalt/anhalt017.htm"
"97","Duchy of
      Anhalt: 9 Year Long Service Cross",NA,"","https://medals.org.uk/anhalt/anhalt018.htm"
"98","Duchy of Anhalt: Land Krieg
      Veterans' War Merit Cross",NA,"","https://medals.org.uk/anhalt/anhalt012.htm"
"99","Duchy of Anhalt: Alexander Carl Commemorative Medal 1848-49","Alexander Carl-Denkmünze 1848-49","8 May 1853","https://medals.org.uk/anhalt/anhalt020.htm"
"100","Duchy of Anhalt: Army Long Service Bars for NCOs and Men","Dienstauszeichnung","24 March 1947","https://medals.org.uk/anhalt/anhalt026.htm"
"101","Duchy of AnhaltAnhalt-Dessau: War Cross 1813-1815","Feldzugkreuz für 1913-1815","26 February 181","https://medals.org.uk/anhalt/anhalt027.htm"
"102",NA,NA,NA,NA
"103","Empire of Annam: Order of the Dragon of Annam","O. Dragon d'Annam","14 March 1886.Discontinued: 1955","https://medals.org.uk/annam/annam001.htm"
"104","Empire of
Annam: The
Military Order of Bao Dai",NA,"","https://medals.org.uk/annam/annam002.htm"
"105","Antigua and Barbuda: The Most Excellent Order of the National Hero",NA,"31 December 1998","https://medals.org.uk/antigua/antigua002.htm"
"106","Antigua and Barbuda: The Most Distinguished Order of the Nation",NA,"27 February 1987","https://medals.org.uk/antigua/antigua001.htm"
"107","Antigua:
The Most Illustrious Order of Merit",NA," ","https://medals.org.uk/antigua/antigua007.htm"
"108","Antigua and Barbuda: The Most Precious Order of Princely Heritage",NA,"31 December 1998","https://medals.org.uk/antigua/antigua008.htm"
"109","Antigua:
Meritorious Service Medal",NA," ","https://medals.org.uk/antigua/antigua003.htm"
"110","Antigua:
General Service Medal",NA," ","https://medals.org.uk/antigua/antigua004.htm"
"111","Antigua:
Long Service and Good Conduct Medal",NA," ","https://medals.org.uk/antigua/antigua005.htm"
"112","Antigua:
Efficient Service Medal",NA," ","https://medals.org.uk/antigua/antigua006.htm"
"113","Antigua and Barbuda: 25th Anniversary of Independence Medal",NA,"2006","https://medals.org.uk/antigua/antigua009.htm"
"114","The Kingdom of
Aragon: The Order of the Reversed Dragon","O. Dragon
Renvers<e9>","1418 b","https://medals.org.uk/aragon/aragon01.htm"
"115","Kingdom of Aragon:
The Order of the Star","O. Etoile","15t","https://medals.org.uk/aragon/aragon02.htm"
"116","Kingdom of Aragon:
The Order of the Vase","O. Jarre
also named O. Vase de la Vierge ou O. Notre Dame du Lys","1410","https://medals.org.uk/aragon/aragon03.htm"
"117","Kingdom of Aragon:
The Military Order of Our Lady of Mercy","O. Militaire de
Notre Dame de la Merci",NA,"https://medals.org.uk/aragon/aragon04.htm"
"118","Kingdom of Aragon:
The Order of Our Lady of Grace","O. Notre Dame
des Gr<e2>ces","1223","https://medals.org.uk/aragon/aragon05.htm"
"119","Kingdom of Aragon:
The Order of St George of Alfama","O. St Georges
d'Alfama",NA,"https://medals.org.uk/aragon/aragon06.htm"
"120","Republic of Argentina: Order of the Liberator San Martin","Orden del Libertador San Martin","17 August 1943","https://medals.org.uk/argentina/argentina001.htm"
"121","Republic of Argentina: Order of May","Orden de Mayo","17 December 1957","https://medals.org.uk/argentina/argentina002.htm"
"122","Republic of Argentina: Order of Civil Merit",NA,"Unknown","https://medals.org.uk/argentina/argentina004.htm"
"123","Republic of Argentina: Order of Naval Merit",NA,"Unknown","https://medals.org.uk/argentina/argentina005.htm"
"124","Republic of Argentina: Order of May for Military Merit","Orden de Mayo Al Mérito Militar","1957, as part of the Order of May","https://medals.org.uk/argentina/argentina003.htm"
"125","Republic of Argentina: Order of Aeronautical Merit",NA,"Unknown","https://medals.org.uk/argentina/argentina006.htm"
"126","Republic of
Argentina: Cross for Heroic Valour in Combat",NA,"Unknown","https://medals.org.uk/argentina/argentina032.htm"
"127","Republic of
Argentina: Medal for Heroic Courage in Combat",NA,"Unknown","https://medals.org.uk/argentina/argentina040.htm"
"128","Republic of
Argentina: Medal for Valour in Combat",NA,"Unknown","https://medals.org.uk/argentina/argentina033.htm"
"129","Republic of
Argentina: Medal for Military Honour",NA,"Unknown","https://medals.org.uk/argentina/argentina041.htm"
"130","Republic of
Argentina: Medal of Recognition",NA,"Unknown","https://medals.org.uk/argentina/argentina038.htm"
"131","Republic of
Argentina: Medal of Honour for Valour and Discipline",NA,"Unknown","https://medals.org.uk/argentina/argentina039.htm"
"132","Republic of
Argentina: Medal for Those Who Died in Combat",NA,"Unknown","https://medals.org.uk/argentina/argentina034.htm"
"133","Republic of
Argentina: Medal for Those Wounded",NA,"Unknown","https://medals.org.uk/argentina/argentina035.htm"
"134","Republic of Argentina: Perdriel Medal 1806","Escudo de Perdriel","5 September 1806","https://medals.org.uk/argentina/argentina049.htm"
"135","Republic of Argentina: Buenos Aires Medal 1809","Medalla por defensa de Buenos Aires","13 January 1809","https://medals.org.uk/argentina/argentina050.htm"
"136","Republic of Argentina: Medal of Tupiza 1810","Medalla de Tupiza","7 November 1810","https://medals.org.uk/argentina/argentina007.htm"
"137","Republic of
Argentina: Medal of Aruhuma 1810",NA,"Unknown","https://medals.org.uk/argentina/argentina008.htm"
"138","Republic of
Argentina: Medal of Las Piedras 1812",NA,"Unknown","https://medals.org.uk/argentina/argentina009.htm"
"139","Republic of
Argentina: Medal of Montevideo 1814",NA,"Unknown","https://medals.org.uk/argentina/argentina010.htm"
"140","Republic of
Argentina: Medal of Humahuaca 1817",NA,"Unknown","https://medals.org.uk/argentina/argentina011.htm"
"141","Republic of
Argentina: Medal of Salta 1817",NA,"Unknown","https://medals.org.uk/argentina/argentina014.htm"
"142","Republic of
Argentina: Medal of Santiago del Estero 1817",NA,"Unknown","https://medals.org.uk/argentina/argentina012.htm"
"143","Republic of
Argentina: Medal of Chacabuco 1817",NA,"Unknown","https://medals.org.uk/argentina/argentina016.htm"
"144","Republic of
Argentina: Medal of San Luis 1819",NA,"Unknown","https://medals.org.uk/argentina/argentina013.htm"
"145","Republic of
Argentina: Medal of Order 1819",NA,"Unknown","https://medals.org.uk/argentina/argentina015.htm"
"146","Republic of
Argentina: Medal of Punta del Medano 1821",NA,"Unknown","https://medals.org.uk/argentina/argentina017.htm"
"147","Republic of
Argentina: Medal of the Aucas 1829",NA,"Unknown","https://medals.org.uk/argentina/argentina018.htm"
"148","Republic of
Argentina: Medal to Liberators of Cordoba",NA,"Unknown","https://medals.org.uk/argentina/argentina019.htm"
"149","Republic of
Argentina: Medal of Corrientes 1865",NA,"Unknown","https://medals.org.uk/argentina/argentina025.htm"
"150","Republic of
Argentina: Medal of the Salado 1830",NA,"Unknown","https://medals.org.uk/argentina/argentina021.htm"
"151","Republic of
Argentina: Medal of Rio Colorado 1834",NA,"Unknown","https://medals.org.uk/argentina/argentina022.htm"
"152","Republic of
Argentina: Medal of Pago Largo 1839",NA,"Unknown","https://medals.org.uk/argentina/argentina024.htm"
"153","Republic of
Argentina: Medal for Victory Over Indians 1839",NA,"Unknown","https://medals.org.uk/argentina/argentina023.htm"
"154","Republic of
Argentina: Medal of the Salado 1856",NA,"Unknown","https://medals.org.uk/argentina/argentina028.htm"
"155","Republic of Argentina: Medal for the Liberators of Corrientes","Medalla a los vencedores de Corrientes","19 August 1865","https://medals.org.uk/argentina/argentina020.htm"
"156","Republic of Argentina: Medal for the Paraguayan War 1865-1870",NA,"28 September 1866","https://medals.org.uk/argentina/argentina046.htm"
"157","Republic of Argentina: Medal for Allied Troops in Operations Against Paraguay",NA,"Unknown","https://medals.org.uk/argentina/argentina047.htm"
"158","Republic of
Argentina: Medal to the Army of Operations",NA,"Unknown","https://medals.org.uk/argentina/argentina026.htm"
"159","Republic of
Argentina: Medal to Corrientes National Guard 1870",NA,"Unknown","https://medals.org.uk/argentina/argentina027.htm"
"160","Republic of Argentina: Rio Negro and Patagonia Campaign Medal, 1878-81",NA,"Unknown","https://medals.org.uk/argentina/argentina029.htm"
"161","Republic of Argentina: Medal of the Andes 1883",NA,"Unknown","https://medals.org.uk/argentina/argentina030.htm"
"162","Republic of
Argentina: Medal of Chaco 1884",NA,"Unknown","https://medals.org.uk/argentina/argentina031.htm"
"163","Republic of Argentina: Medal for the Chaco Campaign 1888",NA,"Unknown","https://medals.org.uk/argentina/argentina048.htm"
"164","Republic of Argentina: Medal for the Catamarca Campaign 1891",NA,"Unknown","https://medals.org.uk/argentina/argentina045.htm"
"165","Republic of
Argentina: Campaign Medal for Operations Against Subversive Terrorists 1970-79",NA,"Unknown","https://medals.org.uk/argentina/argentina042.htm"
"166","Republic of Argentina: Medal for the Malvinas Campaign 1982",NA,"Unknown","https://medals.org.uk/argentina/argentina043.htm"
"167","Republic of
Argentina: Medal for the Buenos Aires National Guard",NA,"Unknown","https://medals.org.uk/argentina/argentina036.htm"
"168","Republic of
Argentina: Medal for the Surrender of Uruguay",NA,"Unknown","https://medals.org.uk/argentina/argentina037.htm"
"169","Republic of
Argentina: Medal for the Gulf War 1991",NA,"Unknown","https://medals.org.uk/argentina/argentina044.htm"
"170","The United Nations: UN Operations in Mozambique (ONUMOZ) Medal",NA,NA,"https://medals.org.uk/argentina/../united-nations/united-nations005.htm"
"171","The United Nations:
UN
    Mission for the Referendum in Western Sahara Medal
(MINURSO)",NA,NA,"https://medals.org.uk/argentina/../united-nations/united-nations004.htm"
"172","Republic of Armenia: Order of the Motherland","<U+0540><U+0561><U+0575><U+0561><U+057D><U+057F><U+0561><U+0576><U+056B> <U+0561><U+0566><U+0563><U+0561><U+0575><U+056B><U+0576> <U+0570><U+0565><U+0580><U+0578><U+057D>","22 April 1994","https://medals.org.uk/armenia/armenia001.htm"
"173","Republic of Armenia: Order of the Combat Cross","<U+0544><U+0561><U+0580><U+057F><U+0561><U+056F><U+0561><U+0576> <U+056D><U+0561><U+0579> <U+0577><U+0584><U+0561><U+0576><U+0577><U+0561><U+0576>","22 April 1994","https://medals.org.uk/armenia/armenia002.htm"
"174","Republic of Armenia: Order of Glory","<U+0553><U+0561><U+057C><U+0584><U+056B> <U+0577><U+0584><U+0561><U+0576><U+0577><U+0561><U+0576>","Unknown","https://medals.org.uk/armenia/armenia024.htm"
"175","Republic of Armenia: Order of Honour","<U+054A><U+0561><U+057F><U+057E><U+0578> <U+0577><U+0584><U+0561><U+0576><U+0577><U+0561><U+0576>","27 July 2000","https://medals.org.uk/armenia/armenia003.htm"
"176","Republic of Armenia: Order of St. Mesrop Mashtots","<U+054D><U+0578><U+0582><U+0580><U+0562> <U+0544><U+0565><U+057D><U+0580><U+0578><U+057A> <U+0544><U+0561><U+0577><U+057F><U+0578><U+0581><U+056B> <U+0577><U+0584><U+0561><U+0576><U+0577><U+0561><U+0576>","26 July 1993","https://medals.org.uk/armenia/armenia004.htm"
"177","Republic of Armenia: Order of Tigran the Great","<U+054F><U+056B><U+0563><U+0580><U+0561><U+0576> <U+0544><U+0565><U+056E> <U+0577><U+0584><U+0561><U+0576><U+0577><U+0561><U+0576>","12 June 2002","https://medals.org.uk/armenia/armenia005.htm"
"178","Republic of Armenia: Order of Vardan Mamikonian","<U+054E><U+0561><U+0580><U+0564><U+0561><U+0576> <U+0544><U+0561><U+0574><U+056B><U+056F><U+0578><U+0576><U+0575><U+0561><U+0576> <U+0577><U+0584><U+0561><U+0576><U+0577><U+0561><U+0576>","12 June 2002","https://medals.org.uk/armenia/armenia006.htm"
"179","Republic of Armenia: Medal for Courage","<U+0531><U+0580><U+056B><U+0578><U+0582><U+0569><U+0575><U+0561><U+0576> <U+0574><U+0565><U+0564><U+0561><U+056C>","26 July 1993","https://medals.org.uk/armenia/armenia007.htm"
"180","Republic of Armenia: Medal for Service in Combat","<U+0544><U+0561><U+0580><U+057F><U+0561><U+056F><U+0561><U+0576> <U+056E><U+0561><U+057C><U+0561><U+0575><U+0578><U+0582><U+0569><U+0575><U+0561><U+0576> <U+0574><U+0565><U+0564><U+0561><U+056C>","26 July 1993","https://medals.org.uk/armenia/armenia008.htm"
"181","Republic of Armenia: Medal for Merit to the Motherland","<U+0540><U+0561><U+0575><U+0580><U+0565><U+0576><U+056B><U+0584><U+056B><U+0576> <U+0574><U+0561><U+057F><U+0578><U+0582><U+0581><U+0561><U+056E> <U+056E><U+0561><U+057C><U+0561><U+0575><U+0578><U+0582><U+0569><U+0575><U+0578><U+0582><U+0576><U+0576><U+0565><U+0580><U+056B> <U+0570><U+0561><U+0574><U+0561><U+0580> <U+0574><U+0565><U+0564><U+0561><U+056C>","Unknown","https://medals.org.uk/armenia/armenia009.htm"
